geom;Адрес;Провайдер;Скорость;Примечание;Наименование;Признак;Буферная зона
"POINT (30.132648 59.561518)";"г. Гатчина, ул. Володарского, д. 9";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан-Кафе ""Султан"" ";Заведение общественного питания;30
"POINT (30.126099 59.565475)";"г. Гатчина, ул. Соборная, д. 17 пом.2";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан-Кафе ""Гранат"" ";Заведение общественного питания;30
"POINT (30.106875 59.554592)";"г. Гатчина, ул. Киевская, д. 20А";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан-Кафе ""Империал"" ";Заведение общественного питания;30
"POINT (30.123458 59.566044)";" г. Гатчина, ул. Соборная, д. 7Б";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Кафе ""Буше""";Заведение общественного питания;30
"POINT (30.120044 59.57495)";"г. Гатчина, ул. Константинова, д.10, пом.4 ";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Бар-Бильярд ""Пул энд бар""";Заведение общественного питания;30
"POINT (30.142745 59.581666)";" г. Гатчина, Пушкинское шоссе, д. 13 кор.2 ";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Бар ""К750"" ";Заведение общественного питания;30
"POINT (30.141837 59.581211)";"г. Гатчина, Пушкинское шоссе, д. 13 кор.3 ";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Кафе ""Mo Gusto"" пиццерия";Заведение общественного питания;30
"POINT (30.126818 59.574148)";" г. Гатчина, пр. 25 Октября, д.40Б";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан ""СМОКЕРИ"" ";Заведение общественного питания;30
"POINT (30.093068 59.563574)";"г. Гатчина, ул. Генераша Кныша, д. 2А   ";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"ресторан ""Мукбанг""";Заведение общественного питания;30
"POINT (30.136457 59.561472)";"г. Гатчина, ул Чехова, у д. 9Б              ";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"кафе ""Мангал""";Заведение общественного питания;30
